JASMY: Downside:0.4601002313030069390902081727M Upside:7.5582112567463377023901310717M RR:16.427314620863007959782153331M
SRM: Downside:0.7498785818358426420592520641M Upside:7.3778533268576979116075764934M RR:9.838730569948186528497409326M
BSW: Downside:0.1940740740740740740740740741M Upside:7.3679012345679012345679012346M RR:37.964376590330788804071246819M
MBOX: Downside:0.2510121457489878542510121457M Upside:7.3319838056680161943319838057M RR:29.209677419354838709677419355M
BAKE: Downside:0.3324468085106382978723404255M Upside:7.2712765957446808510638297872M RR:21.872M
SPELL: Downside:0.2699438202247191011235955056M Upside:7.2443820224719101123595505618M RR:26.836628511966701352757544225M
SCRT: Downside:0.2381562099871959026888604353M Upside:7.1728553137003841229193341869M RR:30.118279569892473118279569892M
BEPRO: Downside:0.4361584633853541416566626651M Upside:7.1632653061224489795918367347M RR:16.423538478476274358692062094M
REAP: Downside:0.2044749305895802711089335293M Upside:7.1387119603680113234253361642M RR:34.912406815761448349307774228M
C98: Downside:0.3245462402765773552290406223M Upside:6.999135695764909248055315471M RR:21.565912117177097203728362184M
CPOOL: Downside:0.3784153005464480874316939891M Upside:6.9690346083788706739526411658M RR:18.416365824308062575210589651M
GHX: Downside:0.3431241655540720961281708945M Upside:6.8237650200267022696929238985M RR:19.887159533073929961089494163M
OOE: Downside:0.2916536742542355264525517098M Upside:6.7902504937116723833281363684M RR:23.281895937277263007840342124M
MTV: Downside:0.394096064042695130086724483M Upside:6.7747665110073382254836557705M RR:17.190647482014388489208633094M
SOUL: Downside:0.349593495934959349593495935M Upside:6.7555555555555555555555555556M RR:19.324031007751937984496124031M
CVX: Downside:0.3877429591431971439904799683M Upside:6.7112257040856802856009520032M RR:17.308439897698209718670076726M
POLK: Downside:0.300443245326652534206976296M Upside:6.7066872229716708421661206398M RR:22.322642719692110327132777421M
KAI: Downside:0.2925319628628642646090938371M Upside:6.6990939771183711192953466553M RR:22.90038295835327908089995213M
SWEAT: Downside:0.3410214168039538714991762768M Upside:6.6828665568369028006589785832M RR:19.596618357487922705314009662M
CLV: Downside:0.2315136851655829426886435808M Upside:6.6515953425071828217148041736M RR:28.73089483997387328543435663M
GODS: Downside:0.2369727047146401985111662531M Upside:6.6422663358147229114971050455M RR:28.029668411867364746945898778M
SUPER: Downside:0.300877192982456140350877193M Upside:6.6421052631578947368421052632M RR:22.075801749271137026239067055M
TLOS: Downside:0.2645973518558714998914695029M Upside:6.6333116272339193980175095869M RR:25.069455838118676510801203172M
TLM: Downside:0.3284997211377579475738984941M Upside:6.5962074735080870050195203569M RR:20.079796264855687606112054329M
XPR: Downside:0.3958234456573327005220692928M Upside:6.5320360702420503084954912197M RR:16.502398081534772182254196643M
ALCX: Downside:0.276595744680851063829787234M Upside:6.5319148936170212765957446809M RR:23.615384615384615384615384615M
UFO: Downside:0.5040297582145071295722256665M Upside:6.4271543707377557346559206448M RR:12.751537515375153751537515375M
